"","species","body_mass_g","culmen_length_mm"
"59","Adelie Penguin (Pygoscelis adeliae)",3750,37.6
"60","Adelie Penguin (Pygoscelis adeliae)",3150,35.7
"61","Adelie Penguin (Pygoscelis adeliae)",4400,41.3
"62","Adelie Penguin (Pygoscelis adeliae)",3600,37.6
"63","Adelie Penguin (Pygoscelis adeliae)",4050,41.1
"64","Adelie Penguin (Pygoscelis adeliae)",2850,36.4
"65","Adelie Penguin (Pygoscelis adeliae)",3950,41.6
"66","Adelie Penguin (Pygoscelis adeliae)",3350,35.5
"67","Adelie Penguin (Pygoscelis adeliae)",4100,41.1
"68","Adelie Penguin (Pygoscelis adeliae)",3050,35.9
"69","Adelie Penguin (Pygoscelis adeliae)",4450,41.8
"70","Adelie Penguin (Pygoscelis adeliae)",3600,33.5
"71","Adelie Penguin (Pygoscelis adeliae)",3900,39.7
"72","Adelie Penguin (Pygoscelis adeliae)",3550,39.6
"73","Adelie Penguin (Pygoscelis adeliae)",4150,45.8
"74","Adelie Penguin (Pygoscelis adeliae)",3700,35.5
"75","Adelie Penguin (Pygoscelis adeliae)",4250,42.8
"76","Adelie Penguin (Pygoscelis adeliae)",3700,40.9
"77","Adelie Penguin (Pygoscelis adeliae)",3900,37.2
"78","Adelie Penguin (Pygoscelis adeliae)",3550,36.2
"79","Adelie Penguin (Pygoscelis adeliae)",4000,42.1
"80","Adelie Penguin (Pygoscelis adeliae)",3200,34.6
"81","Adelie Penguin (Pygoscelis adeliae)",4700,42.9
"82","Adelie Penguin (Pygoscelis adeliae)",3800,36.7
"83","Adelie Penguin (Pygoscelis adeliae)",4200,35.1
"84","Adelie Penguin (Pygoscelis adeliae)",3350,37.3
"85","Adelie Penguin (Pygoscelis adeliae)",3550,41.3
"86","Adelie Penguin (Pygoscelis adeliae)",3800,36.3
"87","Adelie Penguin (Pygoscelis adeliae)",3500,36.9
"88","Adelie Penguin (Pygoscelis adeliae)",3950,38.3
"89","Adelie Penguin (Pygoscelis adeliae)",3600,38.9
"90","Adelie Penguin (Pygoscelis adeliae)",3550,35.7
"91","Adelie Penguin (Pygoscelis adeliae)",4300,41.1
"92","Adelie Penguin (Pygoscelis adeliae)",3400,34
"93","Adelie Penguin (Pygoscelis adeliae)",4450,39.6
"94","Adelie Penguin (Pygoscelis adeliae)",3300,36.2
"95","Adelie Penguin (Pygoscelis adeliae)",4300,40.8
"96","Adelie Penguin (Pygoscelis adeliae)",3700,38.1
"97","Adelie Penguin (Pygoscelis adeliae)",4350,40.3
"98","Adelie Penguin (Pygoscelis adeliae)",2900,33.1
"99","Adelie Penguin (Pygoscelis adeliae)",4100,43.2
"100","Adelie Penguin (Pygoscelis adeliae)",3725,35
"101","Adelie Penguin (Pygoscelis adeliae)",4725,41
"102","Adelie Penguin (Pygoscelis adeliae)",3075,37.7
"103","Adelie Penguin (Pygoscelis adeliae)",4250,37.8
"104","Adelie Penguin (Pygoscelis adeliae)",2925,37.9
"105","Adelie Penguin (Pygoscelis adeliae)",3550,39.7
"106","Adelie Penguin (Pygoscelis adeliae)",3750,38.6
"107","Adelie Penguin (Pygoscelis adeliae)",3900,38.2
"108","Adelie Penguin (Pygoscelis adeliae)",3175,38.1
"109","Adelie Penguin (Pygoscelis adeliae)",4775,43.2
"110","Adelie Penguin (Pygoscelis adeliae)",3825,38.1
"111","Adelie Penguin (Pygoscelis adeliae)",4600,45.6
"112","Adelie Penguin (Pygoscelis adeliae)",3200,39.7
"113","Adelie Penguin (Pygoscelis adeliae)",4275,42.2
"114","Adelie Penguin (Pygoscelis adeliae)",3900,39.6
"115","Adelie Penguin (Pygoscelis adeliae)",4075,42.7
"116","Adelie Penguin (Pygoscelis adeliae)",2900,38.6
"117","Adelie Penguin (Pygoscelis adeliae)",3775,37.3
"118","Adelie Penguin (Pygoscelis adeliae)",3350,35.7
"119","Adelie Penguin (Pygoscelis adeliae)",3325,41.1
"120","Adelie Penguin (Pygoscelis adeliae)",3150,36.2
"121","Adelie Penguin (Pygoscelis adeliae)",3500,37.7
"122","Adelie Penguin (Pygoscelis adeliae)",3450,40.2
"123","Adelie Penguin (Pygoscelis adeliae)",3875,41.4
"124","Adelie Penguin (Pygoscelis adeliae)",3050,35.2
"125","Adelie Penguin (Pygoscelis adeliae)",4000,40.6
"126","Adelie Penguin (Pygoscelis adeliae)",3275,38.8
"127","Adelie Penguin (Pygoscelis adeliae)",4300,41.5
"128","Adelie Penguin (Pygoscelis adeliae)",3050,39
"129","Adelie Penguin (Pygoscelis adeliae)",4000,44.1
"130","Adelie Penguin (Pygoscelis adeliae)",3325,38.5
"131","Adelie Penguin (Pygoscelis adeliae)",3500,43.1
"132","Adelie Penguin (Pygoscelis adeliae)",3500,36.8
"133","Adelie Penguin (Pygoscelis adeliae)",4475,37.5
"134","Adelie Penguin (Pygoscelis adeliae)",3425,38.1
"135","Adelie Penguin (Pygoscelis adeliae)",3900,41.1
"136","Adelie Penguin (Pygoscelis adeliae)",3175,35.6
"137","Adelie Penguin (Pygoscelis adeliae)",3975,40.2
"138","Adelie Penguin (Pygoscelis adeliae)",3400,37
"139","Adelie Penguin (Pygoscelis adeliae)",4250,39.7
"140","Adelie Penguin (Pygoscelis adeliae)",3400,40.2
"141","Adelie Penguin (Pygoscelis adeliae)",3475,40.6
"142","Adelie Penguin (Pygoscelis adeliae)",3050,32.1
"143","Adelie Penguin (Pygoscelis adeliae)",3725,40.7
"144","Adelie Penguin (Pygoscelis adeliae)",3000,37.3
"145","Adelie Penguin (Pygoscelis adeliae)",3650,39
"146","Adelie Penguin (Pygoscelis adeliae)",4250,39.2
"147","Adelie Penguin (Pygoscelis adeliae)",3475,36.6
"148","Adelie Penguin (Pygoscelis adeliae)",3450,36
"149","Adelie Penguin (Pygoscelis adeliae)",3750,37.8
"150","Adelie Penguin (Pygoscelis adeliae)",3700,36
"151","Adelie Penguin (Pygoscelis adeliae)",4000,41.5
"152","Gentoo penguin (Pygoscelis papua)",4500,46.1
"153","Gentoo penguin (Pygoscelis papua)",5700,50
"154","Gentoo penguin (Pygoscelis papua)",4450,48.7
"155","Gentoo penguin (Pygoscelis papua)",5700,50
"156","Gentoo penguin (Pygoscelis papua)",5400,47.6
"157","Gentoo penguin (Pygoscelis papua)",4550,46.5
"158","Gentoo penguin (Pygoscelis papua)",4800,45.4
"159","Gentoo penguin (Pygoscelis papua)",5200,46.7
"160","Gentoo penguin (Pygoscelis papua)",4400,43.3
"161","Gentoo penguin (Pygoscelis papua)",5150,46.8
"162","Gentoo penguin (Pygoscelis papua)",4650,40.9
"163","Gentoo penguin (Pygoscelis papua)",5550,49
"164","Gentoo penguin (Pygoscelis papua)",4650,45.5
"165","Gentoo penguin (Pygoscelis papua)",5850,48.4
"166","Gentoo penguin (Pygoscelis papua)",4200,45.8
"167","Gentoo penguin (Pygoscelis papua)",5850,49.3
"168","Gentoo penguin (Pygoscelis papua)",4150,42
"169","Gentoo penguin (Pygoscelis papua)",6300,49.2
"170","Gentoo penguin (Pygoscelis papua)",4800,46.2
"171","Gentoo penguin (Pygoscelis papua)",5350,48.7
"172","Gentoo penguin (Pygoscelis papua)",5700,50.2
"173","Gentoo penguin (Pygoscelis papua)",5000,45.1
"174","Gentoo penguin (Pygoscelis papua)",4400,46.5
"175","Gentoo penguin (Pygoscelis papua)",5050,46.3
"176","Gentoo penguin (Pygoscelis papua)",5000,42.9
"177","Gentoo penguin (Pygoscelis papua)",5100,46.1
"178","Gentoo penguin (Pygoscelis papua)",4100,44.5
"179","Gentoo penguin (Pygoscelis papua)",5650,47.8
"180","Gentoo penguin (Pygoscelis papua)",4600,48.2
"181","Gentoo penguin (Pygoscelis papua)",5550,50
"182","Gentoo penguin (Pygoscelis papua)",5250,47.3
"183","Gentoo penguin (Pygoscelis papua)",4700,42.8
"184","Gentoo penguin (Pygoscelis papua)",5050,45.1
"185","Gentoo penguin (Pygoscelis papua)",6050,59.6
"186","Gentoo penguin (Pygoscelis papua)",5150,49.1
"187","Gentoo penguin (Pygoscelis papua)",5400,48.4
"188","Gentoo penguin (Pygoscelis papua)",4950,42.6
"189","Gentoo penguin (Pygoscelis papua)",5250,44.4
"190","Gentoo penguin (Pygoscelis papua)",4350,44
"191","Gentoo penguin (Pygoscelis papua)",5350,48.7
"192","Gentoo penguin (Pygoscelis papua)",3950,42.7
"193","Gentoo penguin (Pygoscelis papua)",5700,49.6
"194","Gentoo penguin (Pygoscelis papua)",4300,45.3
"195","Gentoo penguin (Pygoscelis papua)",4750,49.6
"196","Gentoo penguin (Pygoscelis papua)",5550,50.5
"197","Gentoo penguin (Pygoscelis papua)",4900,43.6
"198","Gentoo penguin (Pygoscelis papua)",4200,45.5
"199","Gentoo penguin (Pygoscelis papua)",5400,50.5
"200","Gentoo penguin (Pygoscelis papua)",5100,44.9
"201","Gentoo penguin (Pygoscelis papua)",5300,45.2
"202","Gentoo penguin (Pygoscelis papua)",4850,46.6
"203","Gentoo penguin (Pygoscelis papua)",5300,48.5
"204","Gentoo penguin (Pygoscelis papua)",4400,45.1
"205","Gentoo penguin (Pygoscelis papua)",5000,50.1
"206","Gentoo penguin (Pygoscelis papua)",4900,46.5
"207","Gentoo penguin (Pygoscelis papua)",5050,45
"208","Gentoo penguin (Pygoscelis papua)",4300,43.8
"209","Gentoo penguin (Pygoscelis papua)",5000,45.5
"210","Gentoo penguin (Pygoscelis papua)",4450,43.2
"211","Gentoo penguin (Pygoscelis papua)",5550,50.4
"212","Gentoo penguin (Pygoscelis papua)",4200,45.3
"213","Gentoo penguin (Pygoscelis papua)",5300,46.2
"214","Gentoo penguin (Pygoscelis papua)",4400,45.7
"215","Gentoo penguin (Pygoscelis papua)",5650,54.3
"216","Gentoo penguin (Pygoscelis papua)",4700,45.8
"217","Gentoo penguin (Pygoscelis papua)",5700,49.8
"218","Gentoo penguin (Pygoscelis papua)",4650,46.2
"219","Gentoo penguin (Pygoscelis papua)",5800,49.5
"220","Gentoo penguin (Pygoscelis papua)",4700,43.5
"221","Gentoo penguin (Pygoscelis papua)",5550,50.7
"222","Gentoo penguin (Pygoscelis papua)",4750,47.7
"223","Gentoo penguin (Pygoscelis papua)",5000,46.4
"224","Gentoo penguin (Pygoscelis papua)",5100,48.2
"225","Gentoo penguin (Pygoscelis papua)",5200,46.5
"226","Gentoo penguin (Pygoscelis papua)",4700,46.4
"227","Gentoo penguin (Pygoscelis papua)",5800,48.6
"228","Gentoo penguin (Pygoscelis papua)",4600,47.5
"229","Gentoo penguin (Pygoscelis papua)",6000,51.1
"230","Gentoo penguin (Pygoscelis papua)",4750,45.2
"231","Gentoo penguin (Pygoscelis papua)",5950,45.2
"232","Gentoo penguin (Pygoscelis papua)",4625,49.1
"233","Gentoo penguin (Pygoscelis papua)",5450,52.5
"234","Gentoo penguin (Pygoscelis papua)",4725,47.4
"235","Gentoo penguin (Pygoscelis papua)",5350,50
"236","Gentoo penguin (Pygoscelis papua)",4750,44.9
"237","Gentoo penguin (Pygoscelis papua)",5600,50.8
"238","Gentoo penguin (Pygoscelis papua)",4600,43.4
"239","Gentoo penguin (Pygoscelis papua)",5300,51.3
"240","Gentoo penguin (Pygoscelis papua)",4875,47.5
"241","Gentoo penguin (Pygoscelis papua)",5550,52.1
"242","Gentoo penguin (Pygoscelis papua)",4950,47.5
"243","Gentoo penguin (Pygoscelis papua)",5400,52.2
"244","Gentoo penguin (Pygoscelis papua)",4750,45.5
"245","Gentoo penguin (Pygoscelis papua)",5650,49.5
"246","Gentoo penguin (Pygoscelis papua)",4850,44.5
"247","Gentoo penguin (Pygoscelis papua)",5200,50.8
"248","Gentoo penguin (Pygoscelis papua)",4925,49.4
"249","Gentoo penguin (Pygoscelis papua)",4875,46.9
"250","Gentoo penguin (Pygoscelis papua)",4625,48.4
"251","Gentoo penguin (Pygoscelis papua)",5250,51.1
"252","Gentoo penguin (Pygoscelis papua)",4850,48.5
"253","Gentoo penguin (Pygoscelis papua)",5600,55.9
"254","Gentoo penguin (Pygoscelis papua)",4975,47.2
"255","Gentoo penguin (Pygoscelis papua)",5500,49.1
"256","Gentoo penguin (Pygoscelis papua)",4725,47.3
"257","Gentoo penguin (Pygoscelis papua)",5500,46.8
"258","Gentoo penguin (Pygoscelis papua)",4700,41.7
"259","Gentoo penguin (Pygoscelis papua)",5500,53.4
"260","Gentoo penguin (Pygoscelis papua)",4575,43.3
"261","Gentoo penguin (Pygoscelis papua)",5500,48.1
"262","Gentoo penguin (Pygoscelis papua)",5000,50.5
"263","Gentoo penguin (Pygoscelis papua)",5950,49.8
"264","Gentoo penguin (Pygoscelis papua)",4650,43.5
"265","Gentoo penguin (Pygoscelis papua)",5500,51.5
"266","Gentoo penguin (Pygoscelis papua)",4375,46.2
"267","Gentoo penguin (Pygoscelis papua)",5850,55.1
"268","Gentoo penguin (Pygoscelis papua)",4875,44.5
"269","Gentoo penguin (Pygoscelis papua)",6000,48.8
"270","Gentoo penguin (Pygoscelis papua)",4925,47.2
"271","Gentoo penguin (Pygoscelis papua)",4850,46.8
"272","Gentoo penguin (Pygoscelis papua)",5750,50.4
"273","Gentoo penguin (Pygoscelis papua)",5200,45.2
"274","Gentoo penguin (Pygoscelis papua)",5400,49.9
"275","Chinstrap penguin (Pygoscelis antarctica)",3500,46.5
"276","Chinstrap penguin (Pygoscelis antarctica)",3900,50
"277","Chinstrap penguin (Pygoscelis antarctica)",3650,51.3
"278","Chinstrap penguin (Pygoscelis antarctica)",3525,45.4
"279","Chinstrap penguin (Pygoscelis antarctica)",3725,52.7
"280","Chinstrap penguin (Pygoscelis antarctica)",3950,45.2
"281","Chinstrap penguin (Pygoscelis antarctica)",3250,46.1
"282","Chinstrap penguin (Pygoscelis antarctica)",3750,51.3
"283","Chinstrap penguin (Pygoscelis antarctica)",4150,46
"284","Chinstrap penguin (Pygoscelis antarctica)",3700,51.3
"285","Chinstrap penguin (Pygoscelis antarctica)",3800,46.6
"286","Chinstrap penguin (Pygoscelis antarctica)",3775,51.7
"287","Chinstrap penguin (Pygoscelis antarctica)",3700,47
"288","Chinstrap penguin (Pygoscelis antarctica)",4050,52
"289","Chinstrap penguin (Pygoscelis antarctica)",3575,45.9
"290","Chinstrap penguin (Pygoscelis antarctica)",4050,50.5
"291","Chinstrap penguin (Pygoscelis antarctica)",3300,50.3
"292","Chinstrap penguin (Pygoscelis antarctica)",3700,58
"293","Chinstrap penguin (Pygoscelis antarctica)",3450,46.4
"294","Chinstrap penguin (Pygoscelis antarctica)",4400,49.2
"295","Chinstrap penguin (Pygoscelis antarctica)",3600,42.4
"296","Chinstrap penguin (Pygoscelis antarctica)",3400,48.5
"297","Chinstrap penguin (Pygoscelis antarctica)",2900,43.2
"298","Chinstrap penguin (Pygoscelis antarctica)",3800,50.6
"299","Chinstrap penguin (Pygoscelis antarctica)",3300,46.7
"300","Chinstrap penguin (Pygoscelis antarctica)",4150,52
"301","Chinstrap penguin (Pygoscelis antarctica)",3400,50.5
"302","Chinstrap penguin (Pygoscelis antarctica)",3800,49.5
"303","Chinstrap penguin (Pygoscelis antarctica)",3700,46.4
"304","Chinstrap penguin (Pygoscelis antarctica)",4550,52.8
"305","Chinstrap penguin (Pygoscelis antarctica)",3200,40.9
"306","Chinstrap penguin (Pygoscelis antarctica)",4300,54.2
"307","Chinstrap penguin (Pygoscelis antarctica)",3350,42.5
"308","Chinstrap penguin (Pygoscelis antarctica)",4100,51
"309","Chinstrap penguin (Pygoscelis antarctica)",3600,49.7
"310","Chinstrap penguin (Pygoscelis antarctica)",3900,47.5
"311","Chinstrap penguin (Pygoscelis antarctica)",3850,47.6
"312","Chinstrap penguin (Pygoscelis antarctica)",4800,52
"313","Chinstrap penguin (Pygoscelis antarctica)",2700,46.9
"314","Chinstrap penguin (Pygoscelis antarctica)",4500,53.5
"315","Chinstrap penguin (Pygoscelis antarctica)",3950,49
"316","Chinstrap penguin (Pygoscelis antarctica)",3650,46.2
"317","Chinstrap penguin (Pygoscelis antarctica)",3550,50.9
"318","Chinstrap penguin (Pygoscelis antarctica)",3500,45.5
"319","Chinstrap penguin (Pygoscelis antarctica)",3675,50.9
"320","Chinstrap penguin (Pygoscelis antarctica)",4450,50.8
"321","Chinstrap penguin (Pygoscelis antarctica)",3400,50.1
"322","Chinstrap penguin (Pygoscelis antarctica)",4300,49
"323","Chinstrap penguin (Pygoscelis antarctica)",3250,51.5
"324","Chinstrap penguin (Pygoscelis antarctica)",3675,49.8
"325","Chinstrap penguin (Pygoscelis antarctica)",3325,48.1
"326","Chinstrap penguin (Pygoscelis antarctica)",3950,51.4
"327","Chinstrap penguin (Pygoscelis antarctica)",3600,45.7
"328","Chinstrap penguin (Pygoscelis antarctica)",4050,50.7
"329","Chinstrap penguin (Pygoscelis antarctica)",3350,42.5
"330","Chinstrap penguin (Pygoscelis antarctica)",3450,52.2
"331","Chinstrap penguin (Pygoscelis antarctica)",3250,45.2
"332","Chinstrap penguin (Pygoscelis antarctica)",4050,49.3
"333","Chinstrap penguin (Pygoscelis antarctica)",3800,50.2
"334","Chinstrap penguin (Pygoscelis antarctica)",3525,45.6
"335","Chinstrap penguin (Pygoscelis antarctica)",3950,51.9
"336","Chinstrap penguin (Pygoscelis antarctica)",3650,46.8
"337","Chinstrap penguin (Pygoscelis antarctica)",3650,45.7
"338","Chinstrap penguin (Pygoscelis antarctica)",4000,55.8
"339","Chinstrap penguin (Pygoscelis antarctica)",3400,43.5
"340","Chinstrap penguin (Pygoscelis antarctica)",3775,49.6
"341","Chinstrap penguin (Pygoscelis antarctica)",4100,50.8
"342","Chinstrap penguin (Pygoscelis antarctica)",3775,50.2
